Name,Year_Built,Average_Rent_sf,lon,lat,GrvDemandWeight,GrvDemandWeight_10k
LINCOLN GLEN,1974,2.01,-121.9759773,37.5388057,78047,7.804684
LIVERMORE GARDENS,1976,1.73,-121.722517,37.68001,31950,3.194974
LORENZO COMMONS,1970,2.37,-122.125109,37.676222,108704,10.870403
LOS PRADOS,1985,1.63,-121.8642269,38.0081754,25380,2.53798
LOTUS,1964,1.54,-122.1304339,37.9947742,62065,6.206532
LUND GARDEN,1986,1.66,-122.0802726,37.6497784,93669,9.366909
MADISON BELMONT,1969,2.63,-122.2787349,37.5242311, , 
MADISON PLACE APARTMENTS,1964,2.67,-122.29098,37.543099, , 
MAJESTIC APARTMENTS,1961,1.74,-122.068035,37.654868,92251,9.225063
MARBAYA APARTMENT HOMES,1969,2.87,-122.0221994,37.5662623,80863,8.086264
MARINA BREEZE,1963,1.91,-122.176415,37.697875,95496,9.549553
MARINA CREEK,1964,1.16,-121.823784,38.013183,25277,2.527749
MARINA HEIGHTS,1972,1.3,-121.8852062,38.0365248,18894,1.889412
MARINE VIEW,1965,2.07,-122.2797406,37.7706738,170751,17.075065
MARLIN COVE,2002,3.09,-122.257377,37.554555, , 
MARTINEZ HILLSIDE APARTMENTS,1984,1.54,-122.134646,38.001117,54358,5.435819
MARYMOUNT APARTMENTS,1969,2.04,-122.219467,37.487872, , 
MARYMOUNT TOWER,1968,3.03,-122.2203713,37.4880717, , 
MAYFAIR,1929,2.07,-122.255131,37.810384,234518,23.451828
MCLELLAN ESTATES,1972,2.52,-122.277262,37.523957, , 
MEADOWS,1976,2.2,-122.053799,37.540488,58499,5.849894
MEADOWWOOD,1973,1.52,-122.040947,37.999374,88144,8.814366
MEDALLION,1976,2.22,-122.053011,37.605255,82628,8.262769
MEEKLAND MANOR,1964,1.89,-122.116972,37.685445,105794,10.579375
MERIDIAN (THE),1972,2.54,-122.0759096,37.8926992,88579,8.857921
MERRITT ON 3RD AVENUE,1975,2.87,-122.256956,37.796052,222961,22.296129
METRO 655,1987,1.91,-122.0555018,37.6360912,89501,8.950147
METRO PARK,1958,2.21,-122.1422065,37.7165623,108195,10.819518
METROPOLITAN APARTMENTS,2003,3.78,-122.318054,37.567977, , 
MILL CREEK AT WINDEMERE,2005,2.14,-121.908763,37.756745,53829,5.382911
MILL SPRINGS PARK,1989,2.5,-121.774484,37.681251,42863,4.286269
MIRA VISTA HILLS,1986,1.76,-121.8343928,38.0014567,26366,2.636554
MIRAMAR,2002,3.12,-122.265848,37.568583, , 
MISSION BAY APARTMENT,1987,1.31,-121.958447,38.028382,31852,3.185159
MISSION BAY CONDOMINIUM HOMES,1988,1.76,-122.0528758,37.6340871,87845,8.784518
MISSION HEIGHTS,1968,1.85,-122.0541105,37.6376578,89587,8.958714
MISSION PEAKS,1995,2.41,-121.9674267,37.5550305,71405,7.140456
MISSION PEAKS II,1989,2.39,-121.9648631,37.5567167,65638,6.563805
MISSION PINES,1984,2,-122.1217484,37.996844,64984,6.498386
MISSION SIERRA,1986,2.41,-122.0017499,37.5904372,66201,6.620097
MONTAIR,1948,1.51,-122.109726,37.695897,97232,9.723249
MONTE DIABLO,1963,2.26,-122.319371,37.577025, , 
MONTOYA GARDEN,1964,1.69,-122.3301608,37.9499161,70016,7.001619
MOUNTAIN VIEW,1964,1.87,-122.050021,37.947759,107070,10.706994
MUIR CREEK,1984,1.84,-122.098834,37.994378,74200,7.419994
MUIR PARK CONDOS,1986,1.79,-122.0986561,37.9930956,76806,7.680646
MUIRLANDS AT WINDEMERE,2005,1.22,-121.9052025,37.7608383,54219,5.421851
MUIRWOOD,1984,1.96,-122.1191344,37.9932331,67423,6.742297
NEW BRIGHTON PLACE,1963,2.07,-122.2949574,37.8975006,152261,15.226126
NEW CALIFORNIAN APARTMENTS,2010,3.81,-122.273502,37.872261,198651,19.865084
NEWELL VISTA,1964,2.04,-122.0541062,37.8949914,92735,9.273458
NILE STATION APARTMENTS,1959,2.06,-121.968047,37.573523,68359,6.835944
NORTHGATE PLAZA,1971,1.94,-122.0384951,37.5742912,82225,8.222517
NORTHGATE SAVOY,1975,1.88,-122.038573,37.576137,78483,7.84831
NORTHPARK,1972,3.59,-122.3604663,37.5873104, , 
NORTHRIDGE CONDOS,1974,1.98,-122.069262,37.973323,105200,10.52002
OAK HILL,1972,1.89,-122.0368314,37.6314009,74207,7.4207
OAK HILLS,1988,1.69,-121.9443137,38.0146745,30760,3.075963
OAK POINTE,1971,2.22,-121.9608643,37.5306626,80262,8.026157
OAK VIEW,1974,2.89,-122.3272024,37.5346637, , 
OAK WALK APARTMENTS,2009,3.35,-122.279277,37.831832,284383,28.438268
OAKWOOD VILLAGE,1978,1.19,-121.829935,38.0041889,26094,2.609438
OLIVERA VILLA,1972,1.48,-122.0335412,37.9945747,83890,8.389042
ONE THREE FOUR ELM,1969,2.43,-122.330467,37.567863, , 
ONSTAD MANOR,1971,1.95,-122.152628,37.7201189,113663,11.366267
ORANGE TREE,1962,1.58,-122.071807,37.637289,90044,9.004352
ORCHARD,1964,1.78,-122.074843,37.659421,97126,9.712608
OXFORD MANOR,1960,3.18,-122.2730672,37.5283516, , 
PACIFIC BAY VISTAS,2013,3.36,-122.4642432,37.6383961, , 
PACIFIC PLACE APARTMENT HOMES,2010,2.98,-122.4160097,37.7076984, , 
PACIFIC VIEW,1967,2.26,-122.4870216,37.6331408, , 
PACIFICA PARK,1977,2.66,-122.4775087,37.6590126, , 
PALM LAKE,1972,2.06,-122.022816,37.938411,93962,9.396191
PALM TERRACE,1968,1.57,-122.0336202,37.9678747,96844,9.684432
PALOMAR TERRACE,1965,1.84,-122.0916826,37.6560368,103676,10.367593
PARAISO GARDEN VILLAS,1964,1.96,-122.072776,37.632112,94008,9.400766
PARK CENTRAL,1945,2.17,-122.273651,37.7718492,177581,17.758115
PARK CENTRAL,1964,2.25,-122.3204,37.561143, , 
PARK CENTRAL,2004,2.39,-122.033309,37.972927,101296,10.12964
PARK HAVEN,1968,1.35,-122.0437991,37.9691506,105626,10.562595
PARK LAFAYETTE,1968,1.98,-122.107745,37.894996,68738,6.873833
PARK LAKE CONDOMINIUMS,1980,2.8,-122.036235,37.92147,96658,9.665805
PARK LANE,1961,2.34,-122.4296049,37.6535844, , 
PARK ORCHARD,1963,1.84,-122.076876,37.657507,94816,9.481582
PARK PLACE,1989,2.43,-122.0641259,37.894495,93240,9.323982
PARK REGENCY,1992,2.39,-122.0588799,37.9318874,110400,11.039976
PARK ROYAL,1949,2.37,-122.3406376,37.5727104, , 
PARK SIERRA,1999,2.47,-121.9110015,37.7110037,74312,7.431225
PARK TOWERS,1966,1.56,-122.088737,37.69625,85947,8.594675
PARK VILLA,1964,1.98,-121.9805269,37.5440753,80006,8.000592
PARK VIRGINIA,1970,1.5,-122.040436,37.954099,103477,10.347704
PARK WOOD,1991,2.33,-121.9108053,37.7229478,70067,7.006653
PARKLANE,1958,2,-122.1358984,37.7120863,106184,10.618354
PARKMEAD,1965,2.11,-122.0916503,37.6503455,103251,10.325065
PARKSIDE,1979,2.53,-122.0220454,37.5903577,77725,7.772467
PARKSIDE COMMONS,1986,2.08,-122.1402606,37.7075764,103619,10.361916
PARKVIEW,1975,2.22,-121.9885931,37.5546956,76403,7.640293
PARKVIEW TERRACE,1970,2.45,-122.2989255,37.5387045, , 
PARKWAY GREEN,1973,1.97,-122.050956,37.605099,81140,8.11399
PASEO GARDENS,1952,2.39,-122.116946,37.685026,105940,10.593987
PASEO PLACE,1986,2.66,-122.0030738,37.5636256,76012,7.601238
PATHFINDER VILLAGE,1973,2.41,-121.9758609,37.5427642,79233,7.923345
PEBBLE CREEK I & II,1977,2.11,-121.9603601,37.537728,79727,7.972749
PENINSULA PINES,1965,2.78,-122.430622,37.655129, , 
PENINSULA VIEW,1973,2.67,-122.4547592,37.6519974, , 
PENNSYLVANIA,1965,2.04,-121.9870747,37.5515091,77604,7.760416
PENTAGON,1966,1.83,-122.00008,37.5549432,79599,7.959881
PEPPER TREE,1973,1.75,-122.086103,37.649094,100171,10.01705
PEPPERTREE,1986,1.55,-121.8715774,38.0029222,24280,2.428048
PEPPERTREE,1961,2.13,-122.002479,37.554845,79795,7.979502
PESCADERO,1999,3.02,-122.234119,37.543012, , 
PINE MEADOWS,1971,1.65,-122.040594,37.960105,102658,10.26579
PINE TERRACE,1965,1.46,-122.0426932,37.9675126,103447,10.344662
PINEBROOK,1968,1.95,-122.0226827,37.5656785,81299,8.129948
PINECREST,1971,1.93,-122.0557031,37.6394378,88277,8.827659
PINES (THE),1972,2.05,-122.0532968,37.9031912,94822,9.482169
PINNACLE CROW CANYON,1992,2.51,-121.986437,37.777031,50286,5.028609
PINOLE VISTA APARTMENTS,1965,1.71,-122.294568,38.00276,27901,2.790146
PLAZA (THE),2013,3.99,-122.2705616,37.564377, , 
PLEASANT HILL VILLAGE,1979,2.41,-122.062666,37.943223,109859,10.985877
PLEASANTON GLEN,1973,2.21,-121.8660314,37.6636596,53835,5.383459
PLEASANTON HEIGHTS,1963,2.69,-121.8635996,37.6629852,53544,5.354391
PLEASANTON PLACE,1970,1.96,-121.876575,37.681339,65626,6.562638
PLUM TREE APARTMENTS,1985,2.22,-122.09897,37.9953661,72810,7.280999
POINT ALAMEDA,1974,2.27,-122.2859046,37.7712869,158950,15.894957
PORTOFINO APARTMENTS,1986,1.54,-121.8713173,38.0073608,25172,2.517191
PORTOLA MEADOWS,1990,2.17,-121.7146456,37.7183211,25070,2.50703
PORTOLA PARK,1990,1.65,-121.7602108,37.6767938,38890,3.888976
PRESIDENTS PARK,1985,1.48,-121.8730997,38.008833,25094,2.509361
PRESIDIO,1998,2.37,-121.972139,37.556917,71396,7.13961
PROMENADE,1997,2.12,-121.8847886,37.6512031,50820,5.082044
PROMONTORY VIEW,1997,2.31,-121.988239,37.777626,49598,4.959768
QUAIL HILL,1990,1.82,-122.0859775,37.693448,86686,8.668601
QUAIL HILLS,1970,2.04,-122.053431,37.887568,86400,8.639977
RANCHO LUNA,1982,2.49,-121.9905425,37.5501889,79397,7.939739
RANCHO SOL,1980,2.49,-121.98791,37.552235,76662,7.666179
REDWOOD PLAZA,1971,1.82,-121.988624,37.551436,77842,7.784212
REDWOOD VALLEY APARTMENT HOMES,1965,1.9,-122.0634638,37.6865662,83457,8.345675
REGENCY PLAZA,1976,2.35,-122.1312414,37.9974819,57012,5.701187
REGENCY SQUARE,1987,2.14,-122.013804,37.54551,77007,7.700734
RENAISSANCE SQUARE APARTMENTS,2008,2.3,-122.034821,37.975338,102266,10.226641
RETREAT (THE),1968,2.35,-122.0527907,37.8862718,85257,8.525695
REXFORD,1972,2.1,-121.989711,37.552496,77766,7.776591
RIDGECREST,1985,1.93,-122.125191,37.997548,60890,6.088994
RIDGECREST,1990,1.78,-122.0657122,37.6779404,85352,8.535245
RIVA TERRA APARTMENTS AT REDWOOD SHORES,1986,3.75,-122.2417697,37.5350325, , 
RIVERSHORE,1986,1.58,-121.954597,38.027937,31907,3.190681
RIVERSIDE TERRACE,1959,1.46,-122.0690741,37.6810568,88452,8.84522
RIVERSTONE APARTMENTS,1986,1.47,-121.829006,38.005858,26313,2.631342
ROBERTS LANE TOWNHOUSES,1974,1.87,-121.956139,37.530687,80165,8.016537
ROYAL GARDEN,1977,1.5,-121.8615918,37.6633178,51479,5.147879
ROYAL PINES,1969,1.71,-121.9782618,37.562182,71919,7.191901
RYAN TOWER,1950,3.24,-122.328192,37.56147, , 
SAN LEANDRO RACQUET CLUB,1980,1.94,-122.146372,37.712268,108121,10.812082
SAN MARCO,1972,1.63,-122.0474442,37.9087863,95333,9.533273
SAN MARCO VILLAS,2008,1.73,-121.9681875,38.0209176,35289,3.528905
SAN MARCOS,2002,1.98,-122.3266,37.9766,40566,4.056647
SAND COVE,1973,3.29,-122.2668632,37.5556457, , 
SANDPIPER,1962,1.93,-122.110959,37.694944,99012,9.901155
SANTA MARIA,1969,1.6,-121.8764379,37.6821051,65672,6.567242
SCHOONER BAY,1985,3.12,-122.2617512,37.5374093, , 
SCOTCHOLLOW,1971,2.86,-122.2841913,37.5322161, , 
SEA POINTE,1964,2.58,-122.4929061,37.6366443, , 
SEACLIFF,1971,2.81,-122.4915411,37.6531587, , 
SEASONS (THE),1985,2.37,-121.933245,37.7264709,70052,7.005165
SEQUOIA,1952,2.97,-122.2418185,37.4891188, , 
SEQUOIA GROVES,1965,2.13,-122.134708,37.7104799,106209,10.620906
SEQUOYAH,1951,1.57,-122.039412,37.978452,102878,10.287831
SERRA COMMONS,1989,2.63,-122.4744482,37.6752341, , 
SERRAMONTE RIDGE,1986,2.89,-122.4767967,37.6655455, , 
SEVEN OAKS,1973,3,-122.2003955,37.4242603, , 
SHADOW COVE,1970,3.13,-122.2564451,37.5543137, , 
SHAMER,1959,1.26,-122.109686,37.697212,96451,9.645073
SHARON GREEN,1970,3.25,-122.198437,37.425171, , 
SHORELINE APARTMENTS,1965,2.39,-122.2620732,37.7590051,153232,15.323155
SKYCREST,1970,2.14,-122.439588,37.616902, , 
SKYLARK APARTMENT HOMES,1986,2.44,-122.0207138,37.5851407,77740,7.773959
SKYLINE HEIGHTS,1973,3.28,-122.478525,37.664584, , 
SKYLINE TERRACE,1964,2.63,-122.402197,37.581851, , 
SNOOTY FOX APARTMENTS,1972,1.92,-122.1793767,37.7168076,112151,11.215095
SOLARIS APARTMENTS,1961,2.19,-122.0912988,37.6546895,103539,10.353935
SOUTHSHORE BEACH & TENNIS CLUB,1973,2.71,-122.2713133,37.7641219,162906,16.290638
SOVEREIGN SQUARE,1964,1.57,-122.125816,37.67533,107623,10.762256
SPARTAN ROYAL,1963,1.96,-122.0811836,37.6658562,99058,9.905756
SPRING MEADOW,1972,1.86,-122.0647225,37.9420832,108853,10.885268
SPRINGHOUSE,1989,2.56,-121.88252,37.689131,70775,7.077461
SPRINGS (THE),1981,2.64,-121.9376419,37.7023443,73784,7.378448
ST FRANCIS,1963,2.52,-122.4735672,37.6848905, , 
ST MORITZ GARDENS,1964,1.84,-122.1378465,37.698137,102492,10.249227
STADIUM AND ALLSTON PLACE,2002,3.97,-122.266681,37.869747,203511,20.351137
STANTON ACRES,1969,1.43,-122.090365,37.698956,83607,8.360694
STERLING COVE,1968,1.43,-122.0407105,37.9672592,102420,10.241962
STEVENSON PLACE,1974,2.61,-121.975112,37.5398766,78582,7.858201
STONERIDGE APARTMENTS,1988,2.19,-121.9224256,37.6937119,70571,7.057144
STONERIDGE AT DIABLO HILLS,1971,2.19,-122.0499371,37.9159333,94821,9.482136
SUBURBIAN GARDEN,1970,2.47,-122.023712,37.568723,78708,7.870793
SUMMER HOUSE APARTMENTS,1965,2.27,-122.283681,37.777862,173897,17.389655
SUMMERHILL PLACE,1986,1.84,-122.079145,37.594193,83859,8.385911
SUMMERHILL TERRACE,1986,1.9,-122.1311145,37.6949779,105931,10.593146
SUMMERWOOD,1987,1.26,-121.846315,37.997775,25588,2.558786
SUMMERWOOD,1983,2.1,-122.08925,37.681409,97537,9.753702
SUMMIT (THE),1976,1.72,-122.4757149,37.6585398, , 
SUMMIT AT HILLTOP (THE),1990,1.92,-122.320182,37.986967,34358,3.43575
SUMMIT AT LIME RIDGE (THE),1974,1.65,-122.02754,37.961429,95064,9.506421
SUMMIT CREST,1970,2.12,-122.265378,37.816767,258481,25.848104
SUN VALLEY,1965,2.66,-122.0607513,37.9580719,110557,11.055713
SUNDALE NORTH/SOUTH,1963,2.28,-121.984129,37.530203,79713,7.971315
SUNRIDGE APARTMENTS,1960,1.29,-122.048416,37.950562,105643,10.564293
SUNSET GARDENS,1974,2.01,-121.7809622,37.6607641,34376,3.437623
SUNSET PINES,1969,1.38,-122.04044,37.971444,104495,10.449522
SURFSIDE,1962,2.07,-122.2843816,37.7714022,163128,16.312828
SURFSIDE PALMS,1961,2.14,-122.260596,37.758642,151186,15.11859
SYCAMORE BAY,1998,2.65,-122.035255,37.527474,60877,6.087652
SYCAMORE COMMONS,1971,2.25,-121.9865434,37.5560006,76981,7.69814
SYCAMORE GREEN SOUTH,1969,1.7,-122.02519,37.940858,96254,9.625374
TERRACE (THE),1971,1.81,-122.0636919,37.9426475,108992,10.89915
TERRACE GARDEN,1969,1.68,-122.138095,37.698825,102492,10.249227
TIDES (THE),2005,1.99,-122.324965,37.978691,39480,3.947973
TIKI GARDEN,1954,1.52,-122.0806602,37.6487036,98235,9.823505
TIMBERLANE,1972,2.08,-122.304897,37.5120371, , 
TIMBERS,1974,2.22,-122.088315,37.648397,101931,10.193088
TOWER APARTMENTS,1965,2.19,-122.2481551,37.7538654,142863,14.286318
TOWN CENTER APARTMENTS,2001,2.54,-122.122799,37.892474,61343,6.134288
TOWN CENTER COMMONS,1991,1.84,-121.699395,37.939312,13771,1.377086
TOWNHOUSE PLAZA,1968,1.71,-122.069213,37.684629,87008,8.700816
TOWNSHIP APARTMENTS,2013,3.54,-122.2273442,37.4917377, , 
TRADEWIND,1973,2.31,-122.2628509,37.5589131, , 
TRALEE VILLAGE,2007,2.64,-121.91149,37.704597,77144,7.714436
TRINITY HOUSE,1968,2.36,-122.0664156,37.9015783,99751,9.975111
TRINITY WAY,1979,2.13,-121.9810227,37.5414497,77515,7.751492
TROPIC SANDS,1975,2.1,-122.2474608,37.7535833,142212,14.221159
TUSCANY,1961,2,-122.0597298,37.956883,110435,11.043456
TWIN CREEKS,1986,1.71,-121.826154,37.981762,24345,2.434535
UPTOWN APARTMENTS (THE),2008,2.73,-122.270544,37.8091282,269351,26.935093
VALLE VERDE,1961,1.09,-122.074226,37.674439,94807,9.480719
VALLEY PLAZA VILLAGES APARTMENTS,1985,2.15,-121.875891,37.676837,62845,6.284457
VALLEY RIDGE,1978,2.21,-122.095958,37.9612849,92129,9.212896
VENTANA APARTMENTS,1989,1.94,-121.872938,38.009225,24965,2.496529
VERANDAS,1989,2.8,-122.0174895,37.5885499,74778,7.477804
VIKING PARK,1973,1.78,-122.0753156,37.965923,102881,10.288081
VILLA ALVARADO,1984,1.73,-122.329394,37.951738,69065,6.906458
VILLA MARINA APARTMENTS,1965,2.12,-122.280512,37.771363,170886,17.088563
VILLA MEDANOS,1986,1.27,-121.840096,37.996887,25856,2.585601
VILLA MONTANARO,2007,2.66,-122.056454,37.933435,107666,10.766618
VILLA MORADA,1969,1.61,-122.0765317,37.6715868,97568,9.756841
VILLA PALMS,1972,2.33,-121.8014244,37.6756854,48498,4.849802
VILLA SERENA TOWNHOMES,1960,2.58,-122.2844864,37.5428632, , 
VILLAGE AT PARK VIEW (THE),1978,1.19,-121.839081,37.995927,25609,2.560899
VILLAGE AT TOWN CENTER (THE),2006,2.39,-122.3104443,37.9145828,124026,12.402571
VILLAGE GREEN,1972,1.5,-121.9762084,37.5414484,78945,7.894495
VILLAS AT BAIR ISLAND (THE),1999,3.13,-122.2230339,37.4983952, , 
VILLAS AT HARBOR POINT (THE),1973,1.57,-122.305272,38.0070263,27409,2.740877
VILLAS PAPILLON,1983,1.66,-121.9521478,37.5123566,86971,8.697114
VISTA APARTMENT HOMES,1967,1.52,-122.035265,37.9712,99403,9.940253
VISTA CREEK,1986,1.83,-122.0628732,37.6862877,83445,8.344473
VISTA DEL SOL,1971,2.32,-121.8771961,37.6838717,67468,6.746804
VISTA OAKS,1987,2.13,-122.123668,37.995626,61832,6.183208
WALNUT HILLS,1962,2.37,-122.0665925,37.9009943,99657,9.965714
WALNUT HILLS,1964,1.78,-122.0734863,37.668623,92566,9.256582
WASHINGTON TOWNHOMES,1962,1.83,-122.137009,37.681367,103056,10.305639
WATERFORD PLACE,2002,2.56,-121.8721,37.7089,65069,6.5069
WATERGATE CONDOS,1972,2.5,-122.3054809,37.8392785,231963,23.196345
WATERMARK PLACE,1995,2.49,-121.9777269,37.5607686,69489,6.948931
WATERS EDGE,1972,3.07,-122.266883,37.5668549, , 
WATERSTONE AT FREMONT,1975,2.4,-121.9772883,37.544645,78718,7.871837
WATERSTONE MILLBRAE,1971,3.17,-122.3977932,37.6020339, , 
WAVECREST LANAI APARTMENTS,1960,2.01,-122.256919,37.758316,147032,14.703239
WESTLAKE VILLAGE,1950,2.52,-122.4801943,37.6968898, , 
WESTRIDGE AT HILLTOP,1970,1.69,-122.3391454,37.974302,43718,4.371845
WESTWINDS,1987,1.85,-121.7680088,37.6818745,42553,4.255275
WHISPERING OAKS,1965,1.59,-122.007705,37.987514,78716,7.871622
WHITMAN GREEN,1965,1.87,-122.069322,37.647413,90393,9.039301
WHITMAN VILLA TOWNHOMES,1964,1.62,-122.074085,37.654252,94881,9.488139
WILLOW GLEN,1988,1.39,-122.2551729,38.0149856,20770,2.077047
WILLOW GREEN,1964,1.73,-122.0170004,37.9826177,87680,8.768022
WILLOWS (THE),1974,1.69,-122.1410652,37.687827,105964,10.596397
WINDEMERE,1970,1.87,-122.109404,37.664073,105093,10.509291
WINDSOR,1972,2.22,-122.3037332,37.5103582, , 
WINDSOR (THE),2009,2.83,-122.065717,37.913254,105998,10.599817
WINDSOR GARDEN,1981,2.04,-121.981847,37.540186,76860,7.685967
WINDSOR PARK NORTH & SOUTH,1963,1.38,-122.040568,37.969773,103175,10.317467
WOOD CREEK,1987,2.08,-122.0556389,37.9587548,105328,10.532786
WOODCHASE APARTMENT HOMES,1974,2.22,-122.1438799,37.7143578,108038,10.803756
WOODLAND HILLS,1987,1.72,-121.893699,37.9980961,22984,2.298442
WOODLAND PARK,1972,2.81,-122.1369888,37.4565323, , 
WOODLAND PARK APARTMENTS,1974,3.11,-122.146518,37.462485, , 
WOODLAND VILLAS,1983,2.16,-121.876086,37.675482,61235,6.123478
WOODS,1978,3.19,-121.961422,37.5391652,78442,7.844238
WOODSIDE,1987,2.15,-122.1559267,37.7289477,108947,10.894704
YGNACIO VILLAGE,1988,2.35,-122.0520514,37.9085084,98906,9.890606
